date,tvl
2022-08-27 00:00:00,3881681
2022-08-28 00:00:00,8791497
2022-08-29 00:00:00,11100509
2022-08-30 00:00:00,10183724
2022-08-31 00:00:00,10211758
2022-09-01 00:00:00,10222959
2022-09-02 00:00:00,10381662
2022-09-03 00:00:00,10526957
2022-09-04 00:00:00,10776751
2022-09-05 00:00:00,10922657
2022-09-06 00:00:00,11047321
2022-09-07 00:00:00,10029455
2022-09-08 00:00:00,11728556
2022-09-09 00:00:00,15663995
2022-09-10 00:00:00,15902328
2022-09-11 00:00:00,17144815
2022-09-12 00:00:00,24077065
2022-09-13 00:00:00,30298544
2022-09-14 00:00:00,33207485
2022-09-15 00:00:00,40872281
2022-09-16 00:00:00,47002531
2022-09-17 00:00:00,74277693
2022-09-18 00:00:00,82091347
2022-09-19 00:00:00,79094109
2022-09-20 00:00:00,81443084
2022-09-21 00:00:00,83504053
2022-09-22 00:00:00,71958794
2022-09-23 00:00:00,69679784
2022-09-24 00:00:00,69865980
2022-09-25 00:00:00,68516120
2022-09-26 00:00:00,70618431
2022-09-27 00:00:00,69375768
2022-09-28 00:00:00,78863019
2022-09-29 00:00:00,84394829
2022-09-30 00:00:00,85386718
2022-10-01 00:00:00,85112228
2022-10-02 00:00:00,85283147
2022-10-03 00:00:00,81775889
2022-10-04 00:00:00,86307893
2022-10-05 00:00:00,86443743
2022-10-06 00:00:00,96829366
2022-10-07 00:00:00,98193444
2022-10-08 00:00:00,98436773
2022-10-09 00:00:00,97167090
2022-10-10 00:00:00,90278482
2022-10-11 00:00:00,88777572
2022-10-12 00:00:00,94921106
2022-10-13 00:00:00,95551353
2022-10-14 00:00:00,110668842
2022-10-15 00:00:00,103796033
2022-10-16 00:00:00,105223197
2022-10-17 00:00:00,99481258
2022-10-18 00:00:00,103156540
2022-10-19 00:00:00,112279696
2022-10-20 00:00:00,110733177
2022-10-21 00:00:00,112776859
2022-10-22 00:00:00,115062621
2022-10-23 00:00:00,116392741
2022-10-24 00:00:00,118504224
2022-10-25 00:00:00,108170319
2022-10-26 00:00:00,132927597
2022-10-27 00:00:00,137214682
2022-10-28 00:00:00,138034347
2022-10-29 00:00:00,138512459
2022-10-30 00:00:00,146117625
2022-10-31 00:00:00,146022981
2022-11-01 00:00:00,145305573
2022-11-02 00:00:00,142667301
2022-11-03 00:00:00,139142029
2022-11-04 00:00:00,149775027
2022-11-05 00:00:00,158378059
2022-11-06 00:00:00,151578978
2022-11-07 00:00:00,150159460
2022-11-08 00:00:00,146437011
2022-11-09 00:00:00,135049219
2022-11-10 00:00:00,122717864
2022-11-11 00:00:00,119083519
2022-11-12 00:00:00,115932331
2022-11-13 00:00:00,111270782
2022-11-14 00:00:00,109993750
2022-11-15 00:00:00,147719216
2022-11-16 00:00:00,171798528
2022-11-17 00:00:00,172344376
2022-11-18 00:00:00,165187421
2022-11-19 00:00:00,161649750
2022-11-20 00:00:00,164235482
2022-11-21 00:00:00,167303688
2022-11-22 00:00:00,129740140
2022-11-23 00:00:00,139280016
2022-11-24 00:00:00,177673108
2022-11-25 00:00:00,208623850
2022-11-26 00:00:00,199251116
2022-11-27 00:00:00,198488377
2022-11-28 00:00:00,197138406
2022-11-29 00:00:00,197064405
2022-11-30 00:00:00,217764748
2022-12-01 00:00:00,220882320
2022-12-02 00:00:00,229733633
2022-12-03 00:00:00,267621366
2022-12-04 00:00:00,263651501
2022-12-05 00:00:00,267888616
2022-12-06 00:00:00,263860180
2022-12-07 00:00:00,265392899
2022-12-08 00:00:00,269695108
2022-12-09 00:00:00,274132049
2022-12-10 00:00:00,277649774
2022-12-11 00:00:00,278051020
2022-12-12 00:00:00,279160973
2022-12-13 00:00:00,285717688
2022-12-14 00:00:00,283110035
2022-12-15 00:00:00,282457680
2022-12-16 00:00:00,280264386
2022-12-17 00:00:00,269309680
2022-12-18 00:00:00,272838165
2022-12-19 00:00:00,277215961
2022-12-20 00:00:00,264849190
2022-12-21 00:00:00,264949463
2022-12-22 00:00:00,265047914
2022-12-23 00:00:00,264441541
2022-12-24 00:00:00,264051533
2022-12-25 00:00:00,264534036
2022-12-26 00:00:00,263969619
2022-12-27 00:00:00,263868114
2022-12-28 00:00:00,261576284
2022-12-29 00:00:00,259886820
2022-12-30 00:00:00,261272440
2022-12-31 00:00:00,258482905
2023-01-01 00:00:00,259460252
2023-01-02 00:00:00,259871478
2023-01-03 00:00:00,266018479
2023-01-04 00:00:00,265227655
2023-01-05 00:00:00,270616306
2023-01-06 00:00:00,271719576
2023-01-07 00:00:00,278044388
2023-01-08 00:00:00,277296197
2023-01-09 00:00:00,282647538
2023-01-10 00:00:00,285910782
2023-01-11 00:00:00,266960751
2023-01-12 00:00:00,276922260
2023-01-13 00:00:00,277881346
2023-01-14 00:00:00,301115076
2023-01-15 00:00:00,305461515
2023-01-16 00:00:00,307184099
2023-01-17 00:00:00,309257645
2023-01-18 00:00:00,309306039
2023-01-19 00:00:00,300870491
2023-01-20 00:00:00,297083322
2023-01-21 00:00:00,315318164
2023-01-22 00:00:00,315013073
2023-01-23 00:00:00,311197026
2023-01-24 00:00:00,310763782
2023-01-25 00:00:00,287564252
2023-01-26 00:00:00,305773685
2023-01-27 00:00:00,342541180
2023-01-28 00:00:00,342950391
2023-01-29 00:00:00,345552406
2023-01-30 00:00:00,367369533
2023-01-31 00:00:00,352277494
2023-02-01 00:00:00,355521327
2023-02-02 00:00:00,381267240
2023-02-03 00:00:00,377077933
2023-02-04 00:00:00,380575610
2023-02-05 00:00:00,379073181
2023-02-06 00:00:00,381320937
2023-02-07 00:00:00,379142906
2023-02-08 00:00:00,395784527
2023-02-09 00:00:00,385539438
2023-02-10 00:00:00,358283311
2023-02-11 00:00:00,355266083
2023-02-12 00:00:00,359863984
2023-02-13 00:00:00,357684273
2023-02-14 00:00:00,347587235
2023-02-15 00:00:00,355815335
2023-02-16 00:00:00,387765319
2023-02-17 00:00:00,380142701
2023-02-18 00:00:00,406363702
2023-02-19 00:00:00,491890169
2023-02-20 00:00:00,487156457
2023-02-21 00:00:00,519770942
2023-02-22 00:00:00,506613584
2023-02-23 00:00:00,465802772
2023-02-24 00:00:00,464232932
2023-02-25 00:00:00,454022169
2023-02-26 00:00:00,453442733
2023-02-27 00:00:00,465281879
2023-02-28 00:00:00,463215143
2023-03-01 00:00:00,463534262
2023-03-02 00:00:00,473825807
2023-03-03 00:00:00,462079318
2023-03-04 00:00:00,434759758
2023-03-05 00:00:00,425329528
2023-03-06 00:00:00,426675248
2023-03-07 00:00:00,424840865
2023-03-08 00:00:00,432693654
2023-03-09 00:00:00,424423806
2023-03-10 00:00:00,374664586
2023-03-11 00:00:00,368589934
2023-03-12 00:00:00,314842183
2023-03-13 00:00:00,351292167
2023-03-14 00:00:00,377461337
2023-03-15 00:00:00,392373547
2023-03-16 00:00:00,395107508
2023-03-17 00:00:00,408492015
2023-03-18 00:00:00,442663412
2023-03-19 00:00:00,448584067
2023-03-20 00:00:00,444217958
2023-03-21 00:00:00,439006280
2023-03-22 00:00:00,450784587
2023-03-23 00:00:00,443437811
2023-03-24 00:00:00,455849148
2023-03-25 00:00:00,458032825
2023-03-26 00:00:00,457529506
2023-03-27 00:00:00,469612718
2023-03-28 00:00:00,468242035
2023-03-29 00:00:00,468775583
2023-03-30 00:00:00,472505047
2023-03-31 00:00:00,475316083
2023-04-01 00:00:00,481651160
2023-04-02 00:00:00,482741433
2023-04-03 00:00:00,478911347
2023-04-04 00:00:00,479552896
2023-04-05 00:00:00,497640985
