date,tvl
2022-11-24 00:00:00,3702042073
2022-11-25 00:00:00,3594585683
2022-11-26 00:00:00,3599938785
2022-11-27 00:00:00,3614778783
2022-11-28 00:00:00,3606266514
2022-11-29 00:00:00,3602131369
2022-11-30 00:00:00,3657622721
2022-12-01 00:00:00,3731775126
2022-12-02 00:00:00,3694066083
2022-12-03 00:00:00,3725171833
2022-12-04 00:00:00,3681750604
2022-12-05 00:00:00,3717574468
2022-12-06 00:00:00,3708622453
2022-12-07 00:00:00,3716370326
2022-12-08 00:00:00,3704004209
2022-12-09 00:00:00,3732742649
2022-12-10 00:00:00,3776430645
2022-12-11 00:00:00,3777686689
2022-12-12 00:00:00,3773731263
2022-12-13 00:00:00,3772187633
2022-12-14 00:00:00,3804907194
2022-12-15 00:00:00,3814033872
2022-12-16 00:00:00,3787164733
2022-12-17 00:00:00,3673578925
2022-12-18 00:00:00,3689853859
2022-12-19 00:00:00,3694928612
2022-12-22 00:00:00,3631860379
2022-12-23 00:00:00,3638634297
2022-12-24 00:00:00,3702821494
2022-12-25 00:00:00,3694096967
2022-12-26 00:00:00,3636781242
2022-12-27 00:00:00,3634212106
2022-12-28 00:00:00,3638730582
2022-12-29 00:00:00,3614321105
2022-12-30 00:00:00,3621648248
2022-12-31 00:00:00,3611001670
2023-01-01 00:00:00,3600588199
2023-01-02 00:00:00,3605494597
2023-01-03 00:00:00,3632736501
2023-01-04 00:00:00,3640002729
2023-01-05 00:00:00,3663339389
2023-01-06 00:00:00,3657613686
2023-01-07 00:00:00,3687572070
2023-01-08 00:00:00,3688933335
2023-01-09 00:00:00,3732591435
2023-01-10 00:00:00,3861649129
2023-01-11 00:00:00,3874072093
2023-01-12 00:00:00,3943612849
2023-01-13 00:00:00,3968446037
2023-01-14 00:00:00,4221097306
2023-01-15 00:00:00,4200330811
2023-01-16 00:00:00,4258849737
2023-01-17 00:00:00,4302892242
2023-01-18 00:00:00,4375081669
2023-01-19 00:00:00,4301668803
2023-01-20 00:00:00,4366863691
2023-01-21 00:00:00,4565164012
2023-01-22 00:00:00,4545089031
2023-01-23 00:00:00,4558401433
2023-01-24 00:00:00,4570506534
2023-01-25 00:00:00,4684086791
2023-01-26 00:00:00,4766773245
2023-01-27 00:00:00,4736960462
2023-01-28 00:00:00,4785270904
2023-01-29 00:00:00,4765380062
2023-01-30 00:00:00,4855000033
2023-01-31 00:00:00,4739574205
2023-02-01 00:00:00,4743953648
2023-02-02 00:00:00,4942208396
2023-02-03 00:00:00,4904593978
2023-02-04 00:00:00,4957230584
2023-02-05 00:00:00,4939570396
2023-02-06 00:00:00,4891052230
2023-02-07 00:00:00,4901808022
2023-02-08 00:00:00,4989272444
2023-02-09 00:00:00,4949881459
2023-02-10 00:00:00,4776595476
2023-02-11 00:00:00,4733454673
2023-02-12 00:00:00,4763996844
2023-02-13 00:00:00,4780683170
2023-02-14 00:00:00,4764524468
2023-02-15 00:00:00,4824012764
2023-02-16 00:00:00,5047492984
2023-02-17 00:00:00,4973394389
2023-02-18 00:00:00,5048517875
2023-02-19 00:00:00,5055671877
2023-02-20 00:00:00,5015029022
2023-02-21 00:00:00,5068047782
2023-02-22 00:00:00,4978669037
2023-02-23 00:00:00,4950181021
2023-02-24 00:00:00,4965920261
2023-02-25 00:00:00,4889496683
2023-02-26 00:00:00,4867642410
2023-02-27 00:00:00,4940641239
2023-02-28 00:00:00,4930628785
2023-03-01 00:00:00,5010323821
2023-03-02 00:00:00,5131540550
2023-03-03 00:00:00,5128780534
2023-03-04 00:00:00,4993450113
2023-03-05 00:00:00,4986670743
2023-03-06 00:00:00,4964653622
2023-03-07 00:00:00,4958400440
2023-03-08 00:00:00,4934194451
2023-03-09 00:00:00,4854372985
2023-03-10 00:00:00,4633725772
2023-03-11 00:00:00,4530688970
2023-03-12 00:00:00,3875405468
2023-03-13 00:00:00,4024964222
2023-03-14 00:00:00,4155009592
2023-03-15 00:00:00,4224531379
2023-03-16 00:00:00,4147584652
2023-03-17 00:00:00,4267781954
2023-03-18 00:00:00,4474330985
2023-03-19 00:00:00,4460485996
2023-03-20 00:00:00,4493107437
2023-03-21 00:00:00,4638972439
2023-03-22 00:00:00,4731848994
2023-03-23 00:00:00,4618759222
2023-03-24 00:00:00,4728886279
2023-03-25 00:00:00,4639953734
2023-03-26 00:00:00,4643622237
2023-03-27 00:00:00,4647217403
2023-03-28 00:00:00,4571638267
2023-03-29 00:00:00,4625326718
2023-03-30 00:00:00,4656828267
2023-03-31 00:00:00,4673833628
2023-04-01 00:00:00,4673929857
2023-04-02 00:00:00,4655209308
2023-04-03 00:00:00,4609758671
2023-04-04 00:00:00,4623961040
2023-04-05 00:00:00,4765872875
2023-04-06 00:00:00,4760855748
2023-04-07 00:00:00,4734598991
2023-04-08 00:00:00,4695123221
2023-04-09 00:00:00,4676582714
2023-04-10 00:00:00,4657435912
2023-04-11 00:00:00,4743273330
2023-04-12 00:00:00,4724555648
2023-04-13 00:00:00,4736830796
2023-04-14 00:00:00,4912710221
2023-04-15 00:00:00,4893428967
2023-04-16 00:00:00,4892784221
2023-04-17 00:00:00,4789632587
2023-04-18 00:00:00,4507657981
2023-04-19 00:00:00,4590280627
2023-04-20 00:00:00,4564247167
2023-04-21 00:00:00,4570804085
2023-04-22 00:00:00,4430895399
2023-04-23 00:00:00,4434884319
2023-04-24 00:00:00,4417469185
2023-04-25 00:00:00,4410321950
2023-04-26 00:00:00,4387817280
2023-04-27 00:00:00,4442961354
2023-04-28 00:00:00,4442408771
2023-04-29 00:00:00,4341808136
2023-04-30 00:00:00,4359299673
2023-05-01 00:00:00,4304127792
2023-05-02 00:00:00,4249815678
2023-05-03 00:00:00,4329897648
2023-05-04 00:00:00,4401587889
2023-05-05 00:00:00,4364561336
2023-05-06 00:00:00,4469313059
2023-05-07 00:00:00,4377325767
2023-05-08 00:00:00,4337081277
2023-05-09 00:00:00,4278857007
2023-05-10 00:00:00,4283948742
2023-05-11 00:00:00,4290114135
2023-05-12 00:00:00,4206804080
2023-05-13 00:00:00,4216545596
2023-05-14 00:00:00,4188725111
2023-05-15 00:00:00,4180254092
2023-05-16 00:00:00,4224895707
2023-05-17 00:00:00,4227714882
2023-05-18 00:00:00,4226677336
2023-05-19 00:00:00,4199846145
2023-05-20 00:00:00,4193999133
2023-05-21 00:00:00,4235954186
2023-05-22 00:00:00,4187271152
2023-05-23 00:00:00,4217760064
2023-05-24 00:00:00,4250827477
2023-05-25 00:00:00,4184340906
2023-05-26 00:00:00,4199507669
2023-05-27 00:00:00,4239721717
2023-05-28 00:00:00,4261486614
2023-05-29 00:00:00,4341281531
2023-05-30 00:00:00,4301526988
2023-05-31 00:00:00,4234285720
2023-06-01 00:00:00,4190057863
2023-06-02 00:00:00,4180065014
2023-06-03 00:00:00,4230462921
2023-06-04 00:00:00,4221878471
2023-06-05 00:00:00,4213806357
2023-06-06 00:00:00,4103919366
2023-06-07 00:00:00,4167414695
2023-06-08 00:00:00,4071720017
2023-06-09 00:00:00,4076461359
2023-06-10 00:00:00,3993186429
2023-06-12 00:00:00,3870626090
2023-06-13 00:00:00,3843900703
2023-06-14 00:00:00,3839703732
2023-06-15 00:00:00,3742912367
2023-06-16 00:00:00,3655864239
2023-06-17 00:00:00,3715408596
2023-06-18 00:00:00,3728672956
2023-06-19 00:00:00,3725993995
2023-06-20 00:00:00,3656850605
2023-06-21 00:00:00,3720050171
2023-06-22 00:00:00,3830854469
2023-06-23 00:00:00,3793933908
2023-06-24 00:00:00,3795138607
2023-06-25 00:00:00,3800667860
2023-06-26 00:00:00,3812144296
2023-06-27 00:00:00,3775575047
2023-06-28 00:00:00,3765406293
2023-06-29 00:00:00,3711130930
2023-06-30 00:00:00,3739669812
2023-07-01 00:00:00,3812586119
2023-07-02 00:00:00,3791597075
2023-07-03 00:00:00,3800100330
2023-07-04 00:00:00,3745159854
2023-07-05 00:00:00,3724062508
2023-07-06 00:00:00,3666689633
2023-07-07 00:00:00,3625011514
2023-07-08 00:00:00,3641215046
2023-07-09 00:00:00,3629446451
2023-07-10 00:00:00,3625849774
2023-07-11 00:00:00,3640597049
2023-07-12 00:00:00,3648407597
2023-07-13 00:00:00,3626521449
2023-07-14 00:00:00,3592208027
2023-07-15 00:00:00,3509890222
2023-07-16 00:00:00,3508746308
2023-07-17 00:00:00,3489498975
2023-07-18 00:00:00,3463852913
2023-07-19 00:00:00,3405602187
2023-07-20 00:00:00,3370845329
2023-07-21 00:00:00,3343527603
2023-07-22 00:00:00,3300563123
2023-07-23 00:00:00,3149325065
2023-07-24 00:00:00,3161432261
2023-07-25 00:00:00,3119965921
2023-07-26 00:00:00,3113129773
2023-07-27 00:00:00,3119501807
2023-07-28 00:00:00,3117489850
2023-07-29 00:00:00,3127360057
2023-07-30 00:00:00,3133650761
2023-07-31 00:00:00,1730096270
2023-08-01 00:00:00,1578413160
2023-08-02 00:00:00,1594120925
2023-08-03 00:00:00,1700613396
2023-08-04 00:00:00,2238604907
2023-08-05 00:00:00,2261463062
2023-08-06 00:00:00,2264178719
2023-08-07 00:00:00,2295201524
2023-08-08 00:00:00,2299971215
2023-08-09 00:00:00,2306859289
