date,tvl
2020-12-19 23:00:00,1484680
2020-12-20 23:00:00,2697598
2020-12-21 23:00:00,3410253
2020-12-22 23:00:00,4563625
2020-12-23 23:00:00,4661610
2020-12-24 23:00:00,5347131
2020-12-25 23:00:00,7325073
2020-12-26 23:00:00,7408641
2020-12-27 23:00:00,8347237
2020-12-28 23:00:00,11344171
2020-12-29 23:00:00,11765090
2020-12-30 23:00:00,12119912
2020-12-31 23:00:00,12582167
2021-01-01 23:00:00,12543454
2021-01-02 23:00:00,12514881
2021-01-03 23:00:00,14195762
2021-01-04 23:00:00,16274684
2021-01-05 23:00:00,18325628
2021-01-06 23:00:00,20965573
2021-01-07 23:00:00,22570112
2021-01-08 23:00:00,25529569
2021-01-09 23:00:00,26299896
2021-01-10 23:00:00,33624539
2021-01-11 23:00:00,28869701
2021-01-12 23:00:00,30663261
2021-01-13 23:00:00,50094240
2021-01-14 23:00:00,73598480
2021-01-15 23:00:00,81861176
2021-01-16 23:00:00,85283818
2021-01-17 23:00:00,86160071
2021-01-18 23:00:00,87391374
2021-01-19 23:00:00,99335242
2021-01-20 23:00:00,100287613
2021-01-21 23:00:00,96701078
2021-01-22 23:00:00,92488787
2021-01-23 23:00:00,110569488
2021-01-24 23:00:00,121085410
2021-01-25 23:00:00,127510734
2021-01-26 23:00:00,127250330
2021-01-27 23:00:00,126687251
2021-01-28 23:00:00,130256710
2021-01-29 23:00:00,137228376
2021-01-30 23:00:00,135996393
2021-01-31 23:00:00,142145275
2021-02-01 23:00:00,142743932
2021-02-02 23:00:00,167649885
2021-02-03 23:00:00,192995719
2021-02-04 23:00:00,207027159
2021-02-05 23:00:00,211317161
2021-02-06 23:00:00,222659990
2021-02-07 23:00:00,223083142
2021-02-08 23:00:00,226682734
2021-02-09 23:00:00,244636373
2021-02-10 23:00:00,258690801
2021-02-11 23:00:00,257373193
2021-02-12 23:00:00,255301490
2021-02-13 23:00:00,261404596
2021-02-14 23:00:00,300220386
2021-02-15 23:00:00,289892552
2021-02-16 23:00:00,294701079
2021-02-17 23:00:00,298817631
2021-02-18 23:00:00,340560743
2021-02-19 23:00:00,347618380
2021-02-20 23:00:00,363633943
2021-02-21 23:00:00,357021502
2021-02-22 23:00:00,333163674
2021-02-23 23:00:00,267003426
2021-02-24 23:00:00,303534847
2021-02-25 23:00:00,294421081
2021-02-26 23:00:00,270362309
2021-02-27 23:00:00,269803675
2021-02-28 23:00:00,250111049
2021-03-01 23:00:00,279680304
2021-03-02 23:00:00,284790615
2021-03-03 23:00:00,294543162
2021-03-04 23:00:00,287090601
2021-03-05 23:00:00,272111645
2021-03-06 23:00:00,288340247
2021-03-07 23:00:00,308683748
2021-03-08 23:00:00,316855760
2021-03-09 23:00:00,337615557
2021-03-10 23:00:00,338318383
2021-03-11 23:00:00,329516422
2021-03-12 23:00:00,332363356
2021-03-13 23:00:00,343424416
2021-03-14 23:00:00,350346676
2021-03-15 23:00:00,332987874
2021-03-16 23:00:00,336938520
2021-03-17 23:00:00,460583631
2021-03-18 23:00:00,509773361
2021-03-19 23:00:00,574607276
2021-03-20 23:00:00,587935872
2021-03-21 23:00:00,602769063
2021-03-22 23:00:00,618289929
2021-03-23 23:00:00,569500275
2021-03-24 23:00:00,606935658
2021-03-25 23:00:00,583873492
2021-03-26 23:00:00,625796928
2021-03-27 23:00:00,630767135
2021-03-28 22:00:00,649286652
2021-03-29 22:00:00,704078283
2021-03-30 22:00:00,741152297
2021-03-31 22:00:00,743763681
2021-04-01 22:00:00,779177993
2021-04-02 22:00:00,799026221
2021-04-03 22:00:00,821105326
2021-04-04 22:00:00,807264483
2021-04-05 22:00:00,804754966
2021-04-06 22:00:00,810757400
2021-04-07 22:00:00,805140938
2021-04-08 22:00:00,819712012
2021-04-09 22:00:00,934439179
2021-04-10 22:00:00,965035169
2021-04-11 22:00:00,951022763
2021-04-12 22:00:00,981448867
2021-04-13 22:00:00,1073726481
2021-04-14 22:00:00,1080081949
2021-04-15 22:00:00,1131586581
2021-04-16 22:00:00,1154120907
2021-04-17 22:00:00,1161711743
2021-04-18 22:00:00,991105854
2021-04-19 22:00:00,1189430787
2021-04-20 22:00:00,1089818460
2021-04-21 22:00:00,1160402395
2021-04-22 22:00:00,1228013431
2021-04-23 22:00:00,1101462978
2021-04-24 22:00:00,1187254629
2021-04-25 22:00:00,1271627756
2021-04-26 22:00:00,1385400252
2021-04-27 22:00:00,1455239310
2021-04-28 22:00:00,1430439245
2021-04-29 22:00:00,1475154399
2021-04-30 22:00:00,1511692566
2021-05-01 22:00:00,1511145432
2021-05-02 22:00:00,1567952725
2021-05-03 22:00:00,1716457044
2021-05-04 22:00:00,1700927523
2021-05-05 22:00:00,1764741635
2021-05-06 22:00:00,1782883841
2021-05-07 22:00:00,1867000732
2021-05-08 22:00:00,1981645031
2021-05-09 22:00:00,2145406106
2021-05-10 22:00:00,2216323676
2021-05-11 22:00:00,2125008558
2021-05-12 22:00:00,2261368556
2021-05-14 00:00:00,2194510145
2021-05-15 00:00:00,2009113421
2021-05-16 00:00:00,2044538182
2021-05-17 00:00:00,1889629618
2021-05-18 00:00:00,1973541990
2021-05-19 00:00:00,1366850255
2021-05-20 00:00:00,1503975800
2021-05-21 00:00:00,1197332029
2021-05-22 00:00:00,1268520009
2021-05-23 00:00:00,1089389749
2021-05-24 00:00:00,1436918532
2021-05-25 00:00:00,1457761756
2021-05-26 00:00:00,1572288635
2021-05-27 00:00:00,1541603698
2021-05-28 00:00:00,1369256784
2021-05-29 00:00:00,1284551120
2021-05-30 00:00:00,1371812777
2021-05-31 00:00:00,1568761944
2021-06-01 00:00:00,1536235064
2021-06-02 00:00:00,1614326124
2021-06-03 00:00:00,1740486738
2021-06-04 00:00:00,1621178893
