account,activer_users,dt
Deposit,1234,2025-07-31 00:00:00+00:00
Deposit,802,2025-06-12 00:00:00+00:00
Deposit,617,2025-03-22 00:00:00+00:00
Deposit,796,2025-09-06 00:00:00+00:00
Deposit,2324,2026-02-01 00:00:00+00:00
Deposit,1078,2026-02-15 00:00:00+00:00
Deposit,1142,2025-08-29 00:00:00+00:00
Deposit,1003,2025-09-19 00:00:00+00:00
Deposit,766,2025-05-01 00:00:00+00:00
Deposit,1341,2025-08-18 00:00:00+00:00
Deposit,695,2025-11-29 00:00:00+00:00
Deposit,421,2026-02-25 00:00:00+00:00
Borrow,348,2026-01-10 00:00:00+00:00
Deposit,972,2025-06-13 00:00:00+00:00
Deposit,797,2025-03-24 00:00:00+00:00
Deposit,859,2025-06-17 00:00:00+00:00
Deposit,1108,2025-07-14 00:00:00+00:00
Deposit,721,2025-12-06 00:00:00+00:00
Deposit,707,2025-12-07 00:00:00+00:00
Deposit,857,2026-01-07 00:00:00+00:00
Deposit,1041,2025-03-29 00:00:00+00:00
Deposit,563,2025-04-26 00:00:00+00:00
Deposit,1197,2025-12-11 00:00:00+00:00
Deposit,673,2025-04-25 00:00:00+00:00
Deposit,1664,2025-03-11 00:00:00+00:00
Deposit,2080,2026-02-03 00:00:00+00:00
Deposit,977,2025-09-30 00:00:00+00:00
Deposit,915,2025-10-19 00:00:00+00:00
Borrow,369,2026-02-22 00:00:00+00:00
Borrow,544,2025-03-05 00:00:00+00:00
Borrow,1054,2025-08-15 00:00:00+00:00
Borrow,542,2025-04-30 00:00:00+00:00
Borrow,555,2025-05-16 00:00:00+00:00
Deposit,1254,2025-08-03 00:00:00+00:00
Deposit,1376,2025-02-26 00:00:00+00:00
Deposit,680,2026-02-22 00:00:00+00:00
Deposit,1123,2025-03-05 00:00:00+00:00
Deposit,1383,2025-08-15 00:00:00+00:00
Deposit,703,2025-04-30 00:00:00+00:00
Deposit,683,2025-05-16 00:00:00+00:00
Deposit,1673,2025-11-17 00:00:00+00:00
Deposit,987,2025-09-04 00:00:00+00:00
Deposit,825,2025-11-01 00:00:00+00:00
Deposit,944,2025-09-03 00:00:00+00:00
Deposit,1168,2025-10-22 00:00:00+00:00
Borrow,541,2025-06-18 00:00:00+00:00
Borrow,1031,2025-10-06 00:00:00+00:00
Borrow,358,2025-03-30 00:00:00+00:00
Borrow,689,2025-06-13 00:00:00+00:00
Borrow,613,2025-03-24 00:00:00+00:00
Borrow,1035,2025-08-03 00:00:00+00:00
Borrow,653,2025-02-26 00:00:00+00:00
Borrow,767,2025-09-03 00:00:00+00:00
Borrow,711,2025-10-22 00:00:00+00:00
Borrow,575,2025-06-17 00:00:00+00:00
Borrow,918,2025-07-14 00:00:00+00:00
Borrow,398,2025-12-06 00:00:00+00:00
Borrow,426,2025-12-07 00:00:00+00:00
Borrow,536,2026-01-07 00:00:00+00:00
Borrow,635,2025-12-11 00:00:00+00:00
Borrow,595,2025-04-25 00:00:00+00:00
Borrow,456,2025-04-26 00:00:00+00:00
Borrow,402,2025-03-29 00:00:00+00:00
Borrow,709,2025-09-04 00:00:00+00:00
Borrow,512,2025-11-01 00:00:00+00:00
Borrow,718,2025-11-17 00:00:00+00:00
Flashloan,56,2025-09-03 00:00:00+00:00
Flashloan,106,2025-10-22 00:00:00+00:00
Flashloan,69,2025-03-05 00:00:00+00:00
Flashloan,54,2025-04-30 00:00:00+00:00
Flashloan,94,2025-08-15 00:00:00+00:00
Flashloan,13,2026-02-22 00:00:00+00:00
Flashloan,40,2025-05-16 00:00:00+00:00
Flashloan,75,2025-03-30 00:00:00+00:00
Flashloan,53,2025-06-18 00:00:00+00:00
Flashloan,78,2025-10-06 00:00:00+00:00
Flashloan,82,2025-03-29 00:00:00+00:00
Flashloan,60,2025-04-25 00:00:00+00:00
Flashloan,33,2025-04-26 00:00:00+00:00
Flashloan,11,2026-01-07 00:00:00+00:00
Flashloan,9,2025-12-11 00:00:00+00:00
Flashloan,234,2025-11-17 00:00:00+00:00
Flashloan,56,2025-11-01 00:00:00+00:00
Flashloan,62,2025-09-04 00:00:00+00:00
Flashloan,146,2025-02-26 00:00:00+00:00
Flashloan,68,2025-08-03 00:00:00+00:00
Flashloan,65,2025-10-19 00:00:00+00:00
Flashloan,181,2025-03-11 00:00:00+00:00
Flashloan,14,2026-02-03 00:00:00+00:00
Flashloan,75,2025-09-30 00:00:00+00:00
Flashloan,78,2025-06-17 00:00:00+00:00
Flashloan,53,2025-07-14 00:00:00+00:00
Flashloan,9,2025-12-06 00:00:00+00:00
Flashloan,9,2025-12-07 00:00:00+00:00
Flashloan,68,2025-03-24 00:00:00+00:00
Flashloan,106,2025-06-13 00:00:00+00:00
Repay,364,2025-10-06 00:00:00+00:00
Repay,252,2025-06-18 00:00:00+00:00
Repay,345,2025-03-30 00:00:00+00:00
Repay,482,2025-10-14 00:00:00+00:00
Repay,608,2025-03-11 00:00:00+00:00
Repay,1147,2026-02-03 00:00:00+00:00
Repay,287,2025-10-19 00:00:00+00:00
Repay,367,2025-09-30 00:00:00+00:00
Repay,179,2025-03-05 00:00:00+00:00
Repay,293,2026-02-22 00:00:00+00:00
Repay,478,2025-08-15 00:00:00+00:00
Repay,188,2025-04-30 00:00:00+00:00
Repay,209,2025-05-16 00:00:00+00:00
Repay,324,2025-08-03 00:00:00+00:00
Repay,335,2025-06-13 00:00:00+00:00
Repay,228,2025-03-24 00:00:00+00:00
Repay,292,2025-12-06 00:00:00+00:00
Repay,340,2025-12-07 00:00:00+00:00
Repay,330,2025-07-14 00:00:00+00:00
Repay,291,2025-06-17 00:00:00+00:00
Repay,316,2026-01-07 00:00:00+00:00
Repay,394,2025-03-29 00:00:00+00:00
Repay,150,2025-04-26 00:00:00+00:00
Repay,453,2025-12-11 00:00:00+00:00
Repay,193,2025-04-25 00:00:00+00:00
Repay,478,2025-02-26 00:00:00+00:00
Repay,690,2025-11-17 00:00:00+00:00
Repay,332,2025-09-04 00:00:00+00:00
Repay,254,2025-11-01 00:00:00+00:00
Repay,302,2025-09-03 00:00:00+00:00
Repay,441,2025-10-22 00:00:00+00:00
Liquidation,4,2026-02-22 00:00:00+00:00
Liquidation,4,2025-04-30 00:00:00+00:00
Liquidation,4,2025-08-15 00:00:00+00:00
Liquidation,3,2025-05-16 00:00:00+00:00
Liquidation,1,2025-03-05 00:00:00+00:00
Borrow,689,2025-03-11 00:00:00+00:00
Borrow,829,2026-02-03 00:00:00+00:00
Borrow,848,2025-09-30 00:00:00+00:00
Borrow,531,2025-10-19 00:00:00+00:00
Repay,290,2025-11-26 00:00:00+00:00
Repay,235,2025-11-02 00:00:00+00:00
Repay,265,2025-05-30 00:00:00+00:00
Repay,326,2025-12-31 00:00:00+00:00
Repay,361,2025-10-27 00:00:00+00:00
Liquidation,1,2025-10-06 00:00:00+00:00
Liquidation,4,2025-06-18 00:00:00+00:00
Liquidation,10,2025-03-30 00:00:00+00:00
Liquidation,18,2026-02-03 00:00:00+00:00
Liquidation,20,2025-03-11 00:00:00+00:00
Liquidation,1,2025-09-30 00:00:00+00:00
Liquidation,1,2025-08-03 00:00:00+00:00
Liquidation,11,2025-06-13 00:00:00+00:00
Liquidation,1,2025-03-24 00:00:00+00:00
Deposit,1325,2025-10-14 00:00:00+00:00
Liquidation,4,2025-06-17 00:00:00+00:00
Liquidation,3,2025-07-14 00:00:00+00:00
Liquidation,2,2025-12-06 00:00:00+00:00
