protocol,best_p_MM,best_lag_MM,significant_MM,best_p_ZS,best_lag_ZS,significant_ZS
aave_v3,0.0012900027726973917,3,True,0.5069313859254738,2,False
compound_v3,0.44949375350755916,3,False,0.01754091404143847,6,True
curve,0.28320854462029177,3,False,0.1442103249605808,6,False
lido,0.17135798276137879,4,False,0.15120058091878885,3,False
makerdao,0.3562058509347901,1,False,0.12033105781138223,6,False
uniswap_v3,0.12744218125395212,1,False,0.1328743768344247,7,False
